student_id,course_id,sum_discussion_posts,sum_n_words
44638,OcnA-S116-01,3,95
48797,PhysA-S116-01,7,298
52446,PhysA-S116-01,9,522
53447,FrScA-S116-01,9,708
54066,OcnA-S116-01,9,438
54282,OcnA-S116-02,6,238
54342,OcnA-S116-02,2,96
54346,OcnA-S116-01,1,197
54434,PhysA-S116-01,10,550
55140,PhysA-S116-01,5,223
55283,FrScA-S116-01,1,183
56152,AnPhA-S116-02,9,202
57188,AnPhA-S116-02,6,309
57224,FrScA-S116-03,9,409
57489,PhysA-S116-01,9,491
57981,OcnA-S116-01,9,829
58178,OcnA-S116-01,8,458
60186,AnPhA-S116-01,9,939
61941,FrScA-S116-01,9,863
61965,BioA-S116-01,6,136
62157,FrScA-S116-02,10,573
62576,PhysA-S116-01,9,515
62752,PhysA-S116-01,12,493
62754,PhysA-S116-01,9,361
65627,AnPhA-S116-02,9,355
66693,AnPhA-S116-01,6,311
66740,OcnA-S116-01,11,824
66811,AnPhA-S116-01,9,474
66862,AnPhA-S116-01,5,78
67508,AnPhA-S116-01,6,100
67762,FrScA-S116-02,12,966
67920,OcnA-S116-01,10,616
68188,FrScA-S116-01,9,281
68476,OcnA-S116-02,4,178
68598,BioA-S116-01,6,480
68768,FrScA-S116-02,10,461
69072,FrScA-S116-01,9,557
70037,FrScA-S116-01,10,827
70068,FrScA-S116-03,7,328
70192,AnPhA-S116-02,9,437
70408,BioA-S116-01,13,871
70532,AnPhA-S116-01,11,578
70681,BioA-S116-01,12,563
71434,BioA-S116-01,6,409
73132,FrScA-S116-03,7,707
74551,PhysA-S116-01,7,259
76133,PhysA-S116-01,10,788
76426,PhysA-S116-01,9,388
76840,FrScA-S116-01,10,685
76891,OcnA-S116-01,9,430
76930,AnPhA-S116-02,9,388
77010,AnPhA-S116-01,9,496
77169,BioA-S116-01,6,792
77246,FrScA-S116-01,8,265
77298,FrScA-S116-02,9,472
77976,FrScA-S116-03,11,746
78691,FrScA-S116-03,9,583
79128,PhysA-S116-01,9,682
79220,AnPhA-S116-02,7,301
79352,PhysA-S116-01,9,538
79596,PhysA-S116-01,9,437
82588,FrScA-S116-02,7,220
82588,FrScA-S116-04,27,893
82588,OcnA-S116-03,8,937
85249,AnPhA-S116-01,9,284
85292,BioA-S116-01,8,620
85323,FrScA-S116-01,12,946
85355,OcnA-S116-01,3,66
85390,PhysA-S116-01,2,187
85410,OcnA-S116-02,8,444
85411,AnPhA-S116-01,12,452
85416,FrScA-S116-01,9,560
85431,FrScA-S116-01,8,78
85432,FrScA-S116-01,9,731
85433,FrScA-S116-01,8,41
85443,FrScA-S116-01,10,461
85482,OcnA-S116-02,4,168
85522,PhysA-S116-01,9,483
85539,FrScA-S116-01,9,229
85567,FrScA-S116-02,14,575
85573,FrScA-S116-03,7,487
85574,FrScA-S116-03,9,1096
85579,FrScA-S116-01,9,639
85583,AnPhA-S116-01,8,382
85644,OcnA-S116-01,6,313
85649,FrScA-S116-01,9,238
85650,FrScA-S116-01,9,713
85651,FrScA-S116-01,9,385
85661,FrScA-S116-02,9,161
85662,FrScA-S116-01,3,181
85663,FrScA-S116-01,9,616
85665,FrScA-S116-01,9,333
85668,FrScA-S116-01,9,527
85698,FrScA-S116-02,6,355
85700,FrScA-S116-03,11,674
85701,FrScA-S116-03,12,679
85702,FrScA-S116-03,7,685
85704,FrScA-S116-03,8,1040
85791,FrScA-S116-01,15,845
85792,FrScA-S116-01,9,259
85865,AnPhA-S116-01,9,374
85866,AnPhA-S116-01,7,138
85891,FrScA-S116-03,7,401
85929,FrScA-S116-01,9,174
85930,FrScA-S116-01,8,236
85953,PhysA-S116-01,9,456
85962,PhysA-S116-01,7,489
85970,AnPhA-S116-01,9,239
86067,BioA-S116-01,9,543
86072,AnPhA-S116-01,9,368
86105,FrScA-S116-01,9,254
86110,BioA-S116-01,6,150
86113,BioA-S116-01,10,240
86119,AnPhA-S116-01,9,301
86130,BioA-S116-01,6,436
86133,OcnA-S116-02,8,453
86202,BioA-S116-01,5,108
86216,BioA-S116-01,8,622
86271,FrScA-S116-01,9,520
86275,AnPhA-S116-01,12,454
86277,AnPhA-S116-01,9,363
86280,FrScA-S116-01,11,795
86286,AnPhA-S116-01,10,372
86294,AnPhA-S116-01,10,279
86309,FrScA-S116-03,10,662
86314,AnPhA-S116-02,10,245
86339,FrScA-S116-01,10,521
86340,FrScA-S116-01,9,468
86349,OcnA-S116-01,9,454
86353,PhysA-S116-01,9,449
86364,FrScA-S116-01,9,443
86365,FrScA-S116-01,9,393
86429,AnPhA-S116-01,6,58
86432,AnPhA-S116-01,14,211
86446,AnPhA-S116-01,9,334
86451,AnPhA-S116-01,12,534
86455,FrScA-S116-01,9,290
86460,OcnA-S116-01,6,387
86476,AnPhA-S116-01,10,421
86476,FrScA-S116-01,11,780
86479,AnPhA-S116-01,9,255
86484,AnPhA-S116-01,11,472
86488,AnPhA-S116-01,12,460
86492,AnPhA-S116-01,2,41
86504,AnPhA-S116-01,13,378
86543,FrScA-S116-01,10,241
86580,BioA-S116-01,6,382
86588,AnPhA-S116-01,6,243
86608,AnPhA-S116-01,10,284
86618,FrScA-S116-03,3,222
86627,FrScA-S116-02,8,709
86679,FrScA-S116-01,9,635
86689,OcnA-S116-02,10,666
86707,AnPhA-S116-02,11,511
86709,FrScA-S116-01,21,325
86758,OcnA-S116-01,7,390
86792,FrScA-S116-01,10,851
86793,FrScA-S116-01,10,644
86794,FrScA-S116-01,9,892
86803,FrScA-S116-01,9,466
86815,FrScA-S116-01,16,781
86836,OcnA-S116-01,3,38
86882,FrScA-S116-03,9,1101
86943,OcnA-S116-01,8,495
87001,OcnA-S116-02,7,259
87010,FrScA-S116-01,28,694
87027,FrScA-S116-01,7,341
87043,AnPhA-S116-01,10,849
87081,BioA-S116-01,3,64
87093,FrScA-S116-01,7,410
87122,OcnA-S116-02,5,364
87163,FrScA-S116-01,10,731
87166,AnPhA-S116-01,7,281
87171,PhysA-S116-01,9,581
87209,OcnA-S116-02,5,279
87484,FrScA-S116-01,10,376
87485,FrScA-S116-01,6,283
87489,FrScA-S116-01,5,428
87504,FrScA-S116-01,7,173
87552,BioA-S116-01,6,360
87579,FrScA-S116-01,10,444
87805,FrScA-S116-01,9,271
87905,FrScA-S116-01,9,598
87906,FrScA-S116-01,9,183
87914,FrScA-S116-01,10,312
87927,FrScA-S116-01,9,311
87970,OcnA-S116-01,12,369
88050,AnPhA-S116-01,3,64
88068,AnPhA-S116-01,11,618
88075,FrScA-S116-04,12,677
88091,PhysA-S116-01,11,435
88099,AnPhA-S116-01,11,219
88153,AnPhA-S116-01,6,277
88166,OcnA-S116-02,7,379
88168,OcnA-S116-02,9,488
88261,FrScA-S116-01,10,646
88296,PhysA-S116-01,5,182
88307,OcnA-S116-03,3,173
88381,PhysA-S116-01,9,341
88409,FrScA-S116-03,5,578
88440,OcnA-S116-01,5,344
88481,PhysA-S116-01,9,641
88493,FrScA-S116-01,3,86
88501,FrScA-S116-01,10,402
88527,FrScA-S116-01,9,624
88568,BioA-S116-01,3,28
88636,FrScA-S116-03,7,313
88641,AnPhA-S116-01,15,599
88835,FrScA-S116-03,9,320
88836,FrScA-S116-03,5,64
88854,OcnA-S116-01,4,136
88868,FrScA-S116-03,7,633
88874,FrScA-S116-03,7,382
88886,FrScA-S116-03,9,276
89114,OcnA-S116-01,10,383
89128,FrScA-S116-01,10,551
89142,AnPhA-S116-01,13,552
89144,FrScA-S116-03,10,1029
89165,FrScA-S116-03,10,1598
89194,AnPhA-S116-01,7,108
89295,PhysA-S116-01,6,325
89300,BioA-S116-01,1,1
89376,FrScA-S116-03,11,1100
89388,FrScA-S116-03,10,535
89395,PhysA-S116-01,13,641
89425,PhysA-S116-01,11,574
89435,OcnA-S116-01,13,888
89487,OcnA-S116-01,9,462
89490,PhysA-S116-01,10,418
89918,AnPhA-S116-01,7,211
90090,OcnA-S116-02,7,338
90095,FrScA-S116-01,11,507
90097,FrScA-S116-03,7,381
90098,FrScA-S116-03,7,1501
90253,BioA-S116-01,4,134
90274,FrScA-S116-03,9,1953
90305,AnPhA-S116-01,10,570
90326,PhysA-S116-01,9,547
90333,PhysA-S116-01,10,535
90370,FrScA-S116-03,3,401
90372,FrScA-S116-03,11,620
90394,AnPhA-S116-02,11,410
90395,AnPhA-S116-02,6,179
90396,AnPhA-S116-02,9,296
90397,AnPhA-S116-02,9,254
90398,AnPhA-S116-02,11,917
90399,AnPhA-S116-02,10,428
90430,BioA-S116-01,5,363
90433,FrScA-S116-01,4,553
90466,BioA-S116-01,5,131
90562,OcnA-S116-01,5,92
90589,FrScA-S116-03,4,67
90855,FrScA-S116-03,7,906
90861,OcnA-S116-01,6,524
90878,FrScA-S116-03,9,692
90928,OcnA-S116-01,9,273
90956,AnPhA-S116-02,9,313
90971,AnPhA-S116-02,9,598
90995,AnPhA-S116-02,1,49
91030,PhysA-S116-01,9,435
91038,PhysA-S116-01,6,261
91065,AnPhA-S116-02,1,53
91066,BioA-S116-01,3,84
91067,BioA-S116-01,6,473
91173,FrScA-S116-01,11,211
91175,AnPhA-S116-02,9,418
91176,FrScA-S116-04,12,1223
91300,BioA-S116-01,9,680
91319,AnPhA-S116-02,7,259
91320,AnPhA-S116-02,10,187
91326,FrScA-S116-04,6,259
91340,FrScA-S116-02,9,662
91351,BioA-S116-01,3,73
91471,FrScA-S116-01,9,415
91477,FrScA-S116-04,12,1026
91574,AnPhA-S116-02,9,328
91575,PhysA-S116-01,10,356
91611,BioA-S116-01,6,418
91619,AnPhA-S116-02,3,104
91624,BioA-S116-01,8,313
91633,PhysA-S116-01,6,279
91634,AnPhA-S116-02,9,519
91635,OcnA-S116-01,5,448
91672,AnPhA-S116-02,9,397
91709,AnPhA-S116-02,6,331
91771,AnPhA-S116-02,3,197
91818,OcnA-S116-01,9,550
91821,PhysA-S116-01,6,309
91932,AnPhA-S116-02,6,76
92021,OcnA-S116-02,8,331
92143,FrScA-S116-01,7,702
92152,BioA-S116-01,9,434
92185,AnPhA-S116-02,10,304
92214,FrScA-S116-01,9,628
92510,BioA-S116-01,9,594
92511,PhysA-S116-01,7,467
92604,FrScA-S116-03,3,22
92606,BioA-S116-01,1,35
92724,PhysA-S116-01,9,510
92725,PhysA-S116-01,7,406
92726,PhysA-S116-01,10,443
92727,PhysA-S116-01,10,780
92729,PhysA-S116-01,9,465
92732,PhysA-S116-01,6,248
92733,PhysA-S116-01,10,659
92740,PhysA-S116-01,9,486
92741,PhysA-S116-01,11,700
92743,PhysA-S116-01,10,587
